name,images
"Festival, Fair, Bazaar",http://dev.airatix.id:8000/storage/category/bazazar.jpg
Pertunjukan,http://dev.airatix.id:8000/storage/category/bazazar.jpg
"Atraksi, Theme Park",http://dev.airatix.id:8000/storage/category/bazazar.jpg
Akomodasi,http://dev.airatix.id:8000/storage/category/bazazar.jpg
"Seminar, Talk Show",http://dev.airatix.id:8000/storage/category/bazazar.jpg
Social Gathering,http://dev.airatix.id:8000/storage/category/bazazar.jpg
"Training, Sertifikasi, Ujian",http://dev.airatix.id:8000/storage/category/bazazar.jpg
"Pensi, Event Sekolah, Kampus",http://dev.airatix.id:8000/storage/category/bazazar.jpg
"Trip, Tur",http://dev.airatix.id:8000/storage/category/bazazar.jpg
"Turnamen, Kompetisi",http://dev.airatix.id:8000/storage/category/bazazar.jpg
Lainnya,http://dev.airatix.id:8000/storage/category/bazazar.jpg
Konferensi,http://dev.airatix.id:8000/storage/category/konference.jpg
Konser,http://dev.airatix.id:8000/storage/category/musik.jpg
Pertandingan,http://dev.airatix.id:8000/storage/category/pertandingan.jpg
"Exhibition, Expo, Pameran",http://dev.airatix.id:8000/storage/category/pameran.jpg
Workshop,http://dev.airatix.id:8000/storage/category/workshop.jpg
